Algorithm,Board,ElapsedSeconds,Heuristic,AmountOfMovesToWin,NodesExpanded,FrontierNodes
astar,1,0.5556039810180664,manhattan,33,541,13
astar,1,0.5666911602020264,manhattan,33,541,13
astar,1,0.560250997543335,manhattan,33,541,13
astar,1,0.5537509918212891,manhattan,33,541,13
astar,1,0.5540080070495605,manhattan,33,541,13
astar,1,0.5639517307281494,manhattan,33,541,13
astar,1,0.5541398525238037,manhattan,33,541,13
astar,1,0.5548050403594971,manhattan,33,541,13
astar,1,0.5558538436889648,manhattan,33,541,13
astar,1,0.5608277320861816,manhattan,33,541,13
astar,1,0.5520038604736328,manhattan,33,541,13
astar,1,0.5606689453125,manhattan,33,541,13
astar,1,0.5665929317474365,manhattan,33,541,13
astar,1,0.5708479881286621,manhattan,33,541,13
astar,1,0.5573000907897949,manhattan,33,541,13
astar,1,0.563208818435669,manhattan,33,541,13
astar,1,0.5634670257568359,manhattan,33,541,13
astar,1,0.5599470138549805,manhattan,33,541,13
astar,1,0.552783727645874,manhattan,33,541,13
astar,1,0.5519859790802002,manhattan,33,541,13
astar,2,1.409235954284668,manhattan,45,5295,384
astar,2,1.4042658805847168,manhattan,45,5295,384
astar,2,1.462183952331543,manhattan,45,5295,384
astar,2,1.4144110679626465,manhattan,45,5295,384
astar,2,1.4008870124816895,manhattan,45,5295,384
astar,2,1.4026038646697998,manhattan,45,5295,384
astar,2,1.4369361400604248,manhattan,45,5295,384
astar,2,1.41385817527771,manhattan,45,5295,384
astar,2,1.432499885559082,manhattan,45,5295,384
astar,2,1.3998918533325195,manhattan,45,5295,384
astar,2,1.5644187927246094,manhattan,45,5295,384
astar,2,2.0364859104156494,manhattan,45,5295,384
astar,2,1.852137804031372,manhattan,45,5295,384
astar,2,1.7070322036743164,manhattan,45,5295,384
astar,2,1.9531960487365723,manhattan,45,5295,384
astar,2,1.8587250709533691,manhattan,45,5295,384
astar,2,1.5324358940124512,manhattan,45,5295,384
astar,2,1.75888991355896,manhattan,45,5295,384
astar,2,1.7066559791564941,manhattan,45,5295,384
astar,2,1.6369140148162842,manhattan,45,5295,384
astar,3,2.792754888534546,manhattan,23,11062,1884
astar,3,2.7852702140808105,manhattan,23,11062,1884
astar,3,3.3155629634857178,manhattan,23,11062,1884
astar,3,3.2197961807250977,manhattan,23,11062,1884
astar,3,2.8930351734161377,manhattan,23,11062,1884
astar,3,2.816206932067871,manhattan,23,11062,1884
astar,3,2.8292717933654785,manhattan,23,11062,1884
astar,3,2.842026948928833,manhattan,23,11062,1884
astar,3,2.845125198364258,manhattan,23,11062,1884
astar,3,2.824742078781128,manhattan,23,11062,1884
astar,3,2.7951548099517822,manhattan,23,11062,1884
astar,3,2.8447580337524414,manhattan,23,11062,1884
astar,3,2.841765880584717,manhattan,23,11062,1884
astar,3,2.8067069053649902,manhattan,23,11062,1884
astar,3,2.824748992919922,manhattan,23,11062,1884
astar,3,2.832653045654297,manhattan,23,11062,1884
astar,3,2.812721014022827,manhattan,23,11062,1884
astar,3,2.890244960784912,manhattan,23,11062,1884
astar,3,3.1583738327026367,manhattan,23,11062,1884
astar,3,2.9570071697235107,manhattan,23,11062,1884
astar,4,25.573137044906616,manhattan,265,42254,484
astar,4,26.734446048736572,manhattan,265,42254,484
astar,4,24.03216814994812,manhattan,265,42254,484
astar,4,24.111990213394165,manhattan,265,42254,484
astar,4,25.926491022109985,manhattan,265,42254,484
astar,4,24.89753293991089,manhattan,265,42254,484
astar,4,24.19446110725403,manhattan,265,42254,484
astar,4,27.025886058807373,manhattan,265,42254,484
astar,4,26.03990411758423,manhattan,265,42254,484
astar,4,27.232750177383423,manhattan,265,42254,484
astar,4,29.072750091552734,manhattan,265,42254,484
astar,4,28.02249813079834,manhattan,265,42254,484
astar,4,26.854475021362305,manhattan,265,42254,484
astar,4,26.511457204818726,manhattan,265,42254,484
astar,4,29.130196809768677,manhattan,265,42254,484
astar,4,27.053099870681763,manhattan,265,42254,484
astar,4,26.45908522605896,manhattan,265,42254,484
astar,4,25.75933265686035,manhattan,265,42254,484
astar,4,27.459545135498047,manhattan,265,42254,484
astar,4,32.73403286933899,manhattan,265,42254,484
