Algorithm,Board,ElapsedSeconds,Heuristic,AmountOfMovesToWin,NodesExpanded,FrontierNodes
bfs,1,0.7875072956085205,N/A,33,563,14
bfs,1,0.5534889698028564,N/A,33,563,14
bfs,1,0.5388190746307373,N/A,33,563,14
bfs,1,0.5418791770935059,N/A,33,563,14
bfs,1,0.5468571186065674,N/A,33,563,14
bfs,1,0.539794921875,N/A,33,563,14
bfs,1,0.5378482341766357,N/A,33,563,14
bfs,1,0.6358969211578369,N/A,33,563,14
bfs,1,0.6228430271148682,N/A,33,563,14
bfs,1,0.5612199306488037,N/A,33,563,14
bfs,1,0.5712440013885498,N/A,33,563,14
bfs,1,0.5411300659179688,N/A,33,563,14
bfs,1,0.5447900295257568,N/A,33,563,14
bfs,1,0.5526599884033203,N/A,33,563,14
bfs,1,0.5358121395111084,N/A,33,563,14
bfs,1,0.537783145904541,N/A,33,563,14
bfs,1,0.5614521503448486,N/A,33,563,14
bfs,1,0.5920889377593994,N/A,33,563,14
bfs,1,0.5445351600646973,N/A,33,563,14
bfs,1,0.5403869152069092,N/A,33,563,14
bfs,2,1.5968751907348633,N/A,45,7416,192
bfs,2,1.5439589023590088,N/A,45,7416,192
bfs,2,1.541285753250122,N/A,45,7416,192
bfs,2,1.5637781620025635,N/A,45,7416,192
bfs,2,1.6797699928283691,N/A,45,7416,192
bfs,2,2.548837900161743,N/A,45,7416,192
bfs,2,1.863368272781372,N/A,45,7416,192
bfs,2,1.8261890411376953,N/A,45,7416,192
bfs,2,1.8897521495819092,N/A,45,7416,192
bfs,2,1.9353339672088623,N/A,45,7416,192
bfs,2,1.546032190322876,N/A,45,7416,192
bfs,2,1.5791668891906738,N/A,45,7416,192
bfs,2,1.5692658424377441,N/A,45,7416,192
bfs,2,1.5626490116119385,N/A,45,7416,192
bfs,2,1.5784578323364258,N/A,45,7416,192
bfs,2,1.6137371063232422,N/A,45,7416,192
bfs,2,1.5553131103515625,N/A,45,7416,192
bfs,2,1.654526948928833,N/A,45,7416,192
bfs,2,1.5516388416290283,N/A,45,7416,192
bfs,2,1.5856637954711914,N/A,45,7416,192
bfs,3,3.5342469215393066,N/A,23,17891,464
bfs,3,3.5972847938537598,N/A,23,17891,464
bfs,3,3.5194599628448486,N/A,23,17891,464
bfs,3,3.5802433490753174,N/A,23,17891,464
bfs,3,3.5754849910736084,N/A,23,17891,464
bfs,3,3.5871200561523438,N/A,23,17891,464
bfs,3,3.5445499420166016,N/A,23,17891,464
bfs,3,3.6336591243743896,N/A,23,17891,464
bfs,3,3.585554838180542,N/A,23,17891,464
bfs,3,3.60428786277771,N/A,23,17891,464
bfs,3,3.6029539108276367,N/A,23,17891,464
bfs,3,3.689845323562622,N/A,23,17891,464
bfs,3,3.568972110748291,N/A,23,17891,464
bfs,3,3.9672229290008545,N/A,23,17891,464
bfs,3,3.9008708000183105,N/A,23,17891,464
bfs,3,3.8017830848693848,N/A,23,17891,464
bfs,3,3.5958220958709717,N/A,23,17891,464
bfs,3,3.5720818042755127,N/A,23,17891,464
bfs,3,3.5378787517547607,N/A,23,17891,464
bfs,3,3.5548460483551025,N/A,23,17891,464
bfs,4,24.528247117996216,N/A,265,47923,185
bfs,4,27.3391432762146,N/A,265,47923,185
bfs,4,25.186400651931763,N/A,265,47923,185
bfs,4,24.754034996032715,N/A,265,47923,185
bfs,4,28.274211168289185,N/A,265,47923,185
bfs,4,28.133477210998535,N/A,265,47923,185
bfs,4,25.382312297821045,N/A,265,47923,185
bfs,4,25.44862198829651,N/A,265,47923,185
bfs,4,25.470146894454956,N/A,265,47923,185
bfs,4,24.96456789970398,N/A,265,47923,185
bfs,4,30.98175573348999,N/A,265,47923,185
bfs,4,28.576668739318848,N/A,265,47923,185
bfs,4,27.81461215019226,N/A,265,47923,185
bfs,4,25.89538598060608,N/A,265,47923,185
bfs,4,24.462053775787354,N/A,265,47923,185
bfs,4,25.108874082565308,N/A,265,47923,185
bfs,4,34.158671140670776,N/A,265,47923,185
bfs,4,32.906286001205444,N/A,265,47923,185
bfs,4,27.824745893478394,N/A,265,47923,185
bfs,4,31.59658980369568,N/A,265,47923,185
