Algorithm,Board,ElapsedSeconds,Heuristic,AmountOfMovesToWin,NodesExpanded,FrontierNodes
dfs,1,0.588402271270752,N/A,51,574,0
dfs,1,1.082921028137207,N/A,51,574,0
dfs,1,0.7134079933166504,N/A,51,574,0
dfs,1,0.6646792888641357,N/A,51,574,0
dfs,1,0.6575863361358643,N/A,51,574,0
dfs,1,0.6827690601348877,N/A,51,574,0
dfs,1,0.6673829555511475,N/A,51,574,0
dfs,1,0.6962671279907227,N/A,51,574,0
dfs,1,0.6573197841644287,N/A,51,574,0
dfs,1,0.7324428558349609,N/A,51,574,0
dfs,1,1.8128662109375,N/A,51,574,0
dfs,1,0.6427290439605713,N/A,51,574,0
dfs,1,0.609968900680542,N/A,51,574,0
dfs,1,0.5667271614074707,N/A,51,574,0
dfs,1,0.5996360778808594,N/A,51,574,0
dfs,1,0.5657269954681396,N/A,51,574,0
dfs,1,0.5499491691589355,N/A,51,574,0
dfs,1,0.6550891399383545,N/A,51,574,0
dfs,1,1.2107038497924805,N/A,51,574,0
dfs,1,1.2683813571929932,N/A,51,574,0
dfs,2,1.597100019454956,N/A,69,6383,0
dfs,2,1.548595905303955,N/A,69,6383,0
dfs,2,1.7238688468933105,N/A,69,6383,0
dfs,2,1.7120192050933838,N/A,69,6383,0
dfs,2,1.886817216873169,N/A,69,6383,0
dfs,2,1.824005126953125,N/A,69,6383,0
dfs,2,1.948272943496704,N/A,69,6383,0
dfs,2,1.6395998001098633,N/A,69,6383,0
dfs,2,3.453829288482666,N/A,69,6383,0
dfs,2,2.2915098667144775,N/A,69,6383,0
dfs,2,1.6829190254211426,N/A,69,6383,0
dfs,2,1.8338191509246826,N/A,69,6383,0
dfs,2,1.6068377494812012,N/A,69,6383,0
dfs,2,1.5365869998931885,N/A,69,6383,0
dfs,2,1.5041987895965576,N/A,69,6383,0
dfs,2,1.5077621936798096,N/A,69,6383,0
dfs,2,1.6394541263580322,N/A,69,6383,0
dfs,2,1.7062053680419922,N/A,69,6383,0
dfs,2,1.7440462112426758,N/A,69,6383,0
dfs,2,1.4980931282043457,N/A,69,6383,0
dfs,3,5.345070838928223,N/A,267,18998,0
dfs,3,5.425710201263428,N/A,267,18998,0
dfs,3,6.538478136062622,N/A,267,18998,0
dfs,3,5.054411888122559,N/A,267,18998,0
dfs,3,5.314225196838379,N/A,267,18998,0
dfs,3,5.012797117233276,N/A,267,18998,0
dfs,3,5.18682599067688,N/A,267,18998,0
dfs,3,4.488873243331909,N/A,267,18998,0
dfs,3,4.557152032852173,N/A,267,18998,0
dfs,3,5.134858131408691,N/A,267,18998,0
dfs,3,4.745636940002441,N/A,267,18998,0
dfs,3,4.67931604385376,N/A,267,18998,0
dfs,3,4.492384910583496,N/A,267,18998,0
dfs,3,4.740809917449951,N/A,267,18998,0
dfs,3,5.158628225326538,N/A,267,18998,0
dfs,3,7.046807050704956,N/A,267,18998,0
dfs,3,7.314922094345093,N/A,267,18998,0
dfs,3,5.321078062057495,N/A,267,18998,0
dfs,3,4.973145961761475,N/A,267,18998,0
dfs,3,4.999427795410156,N/A,267,18998,0
dfs,4,10.059762954711914,N/A,997,16216,0
dfs,4,10.225154161453247,N/A,997,16216,0
dfs,4,15.922125101089478,N/A,997,16216,0
dfs,4,12.484174966812134,N/A,997,16216,0
dfs,4,11.727844953536987,N/A,997,16216,0
dfs,4,12.780683755874634,N/A,997,16216,0
dfs,4,11.71823000907898,N/A,997,16216,0
dfs,4,11.738916158676147,N/A,997,16216,0
dfs,4,11.741687059402466,N/A,997,16216,0
dfs,4,11.28819727897644,N/A,997,16216,0
dfs,4,11.08125114440918,N/A,997,16216,0
dfs,4,11.01963496208191,N/A,997,16216,0
dfs,4,10.486418962478638,N/A,997,16216,0
dfs,4,10.368715047836304,N/A,997,16216,0
dfs,4,10.032004833221436,N/A,997,16216,0
dfs,4,10.984304904937744,N/A,997,16216,0
dfs,4,12.236495971679688,N/A,997,16216,0
dfs,4,12.871648073196411,N/A,997,16216,0
dfs,4,10.069101810455322,N/A,997,16216,0
dfs,4,9.461196899414062,N/A,997,16216,0
