Algorithm,Board,ElapsedSeconds,Heuristic,AmountOfMovesToWin,NodesExpanded,FrontierNodes
greedy,1,0.6618549823760986,manhattan,33,359,37
greedy,1,0.7923722267150879,manhattan,33,359,37
greedy,1,0.6294698715209961,manhattan,33,359,37
greedy,1,0.725787878036499,manhattan,33,359,37
greedy,1,0.6017069816589355,manhattan,33,359,37
greedy,1,0.6201190948486328,manhattan,33,359,37
greedy,1,0.5977480411529541,manhattan,33,359,37
greedy,1,0.7282319068908691,manhattan,33,359,37
greedy,1,0.8476941585540771,manhattan,33,359,37
greedy,1,0.5773937702178955,manhattan,33,359,37
greedy,1,1.0763609409332275,manhattan,33,359,37
greedy,1,0.643169641494751,manhattan,33,359,37
greedy,1,0.5872802734375,manhattan,33,359,37
greedy,1,0.6041820049285889,manhattan,33,359,37
greedy,1,0.5552301406860352,manhattan,33,359,37
greedy,1,0.5436949729919434,manhattan,33,359,37
greedy,1,0.573754072189331,manhattan,33,359,37
greedy,1,0.5280289649963379,manhattan,33,359,37
greedy,1,0.5378711223602295,manhattan,33,359,37
greedy,1,0.5440120697021484,manhattan,33,359,37
greedy,2,0.6126537322998047,manhattan,57,853,44
greedy,2,0.8381288051605225,manhattan,57,853,44
greedy,2,0.6202280521392822,manhattan,57,853,44
greedy,2,0.659080982208252,manhattan,57,853,44
greedy,2,0.6270458698272705,manhattan,57,853,44
greedy,2,0.7457430362701416,manhattan,57,853,44
greedy,2,1.0006351470947266,manhattan,57,853,44
greedy,2,0.6257798671722412,manhattan,57,853,44
greedy,2,0.6533839702606201,manhattan,57,853,44
greedy,2,0.6580049991607666,manhattan,57,853,44
greedy,2,0.6768808364868164,manhattan,57,853,44
greedy,2,0.783897876739502,manhattan,57,853,44
greedy,2,0.6972007751464844,manhattan,57,853,44
greedy,2,0.7050259113311768,manhattan,57,853,44
greedy,2,0.6721780300140381,manhattan,57,853,44
greedy,2,0.7257957458496094,manhattan,57,853,44
greedy,2,0.6921100616455078,manhattan,57,853,44
greedy,2,0.6627230644226074,manhattan,57,853,44
greedy,2,0.6171760559082031,manhattan,57,853,44
greedy,2,0.6312828063964844,manhattan,57,853,44
greedy,3,0.797443151473999,manhattan,31,1540,354
greedy,3,0.7701230049133301,manhattan,31,1540,354
greedy,3,1.1749796867370605,manhattan,31,1540,354
greedy,3,2.1656641960144043,manhattan,31,1540,354
greedy,3,1.1332597732543945,manhattan,31,1540,354
greedy,3,0.9062938690185547,manhattan,31,1540,354
greedy,3,1.6712369918823242,manhattan,31,1540,354
greedy,3,1.138023853302002,manhattan,31,1540,354
greedy,3,0.996772050857544,manhattan,31,1540,354
greedy,3,1.4333417415618896,manhattan,31,1540,354
greedy,3,1.0234792232513428,manhattan,31,1540,354
greedy,3,0.8535597324371338,manhattan,31,1540,354
greedy,3,0.8198120594024658,manhattan,31,1540,354
greedy,3,0.7732977867126465,manhattan,31,1540,354
greedy,3,0.8154087066650391,manhattan,31,1540,354
greedy,3,0.7793371677398682,manhattan,31,1540,354
greedy,3,0.796842098236084,manhattan,31,1540,354
greedy,3,0.9299492835998535,manhattan,31,1540,354
greedy,3,1.1438488960266113,manhattan,31,1540,354
greedy,3,0.7789478302001953,manhattan,31,1540,354
greedy,4,15.021236896514893,manhattan,337,25975,99
greedy,4,20.302248001098633,manhattan,337,25975,99
greedy,4,16.40054225921631,manhattan,337,25975,99
greedy,4,16.860605001449585,manhattan,337,25975,99
greedy,4,22.925194025039673,manhattan,337,25975,99
greedy,4,21.334640979766846,manhattan,337,25975,99
greedy,4,20.39351797103882,manhattan,337,25975,99
greedy,4,22.739427089691162,manhattan,337,25975,99
greedy,4,20.653024911880493,manhattan,337,25975,99
greedy,4,15.967777013778687,manhattan,337,25975,99
greedy,4,16.323259353637695,manhattan,337,25975,99
greedy,4,18.898076057434082,manhattan,337,25975,99
greedy,4,19.393095016479492,manhattan,337,25975,99
greedy,4,19.905998706817627,manhattan,337,25975,99
greedy,4,21.513377904891968,manhattan,337,25975,99
greedy,4,17.25589108467102,manhattan,337,25975,99
greedy,4,15.46436095237732,manhattan,337,25975,99
greedy,4,14.591983079910278,manhattan,337,25975,99
greedy,4,14.936876058578491,manhattan,337,25975,99
greedy,4,14.669142007827759,manhattan,337,25975,99
